/home/sherryli/xsli/softwares/anaconda3/envs/lightning/lib/python3.11/site-packages/torch/nn/modules/transformer.py:379: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
init(warm): 400 disp sweeps @ beta0 -> U/N -2.0685 (T=1.25 liquid)
rung  14: beta 1.3017  ESS   153.6/256  U/N -2.7682  sb 0.11%  1197s
rung  15: beta 1.3018  ESS   153.6/256  U/N -2.8195  sb 0.12%  1276s
rung  16: beta 1.3733  ESS   153.6/256  U/N -2.8222  sb 0.12%  1356s
rung  17: beta 1.3734  ESS   153.5/256  U/N -2.8604  sb 0.15%  1436s
rung  18: beta 1.4774  ESS   153.6/256  U/N -2.8841  sb 0.12%  1516s
rung  19: beta 1.4775  ESS   153.6/256  U/N -2.9252  sb 0.16%  1596s
rung  20: beta 1.5930  ESS   153.6/256  U/N -2.9293  sb 0.14%  1676s
rung  21: beta 1.5931  ESS   153.6/256  U/N -2.9720  sb 0.17%  1755s
rung  22: beta 1.6916  ESS   153.6/256  U/N -2.9889  sb 0.13%  1835s
rung  23: beta 1.6917  ESS   153.6/256  U/N -3.0158  sb 0.15%  1915s
rung  24: beta 1.8409  ESS   153.6/256  U/N -3.0335  sb 0.09%  1995s
rung  25: beta 1.8410  ESS   153.6/256  U/N -3.0711  sb 0.11%  2074s
rung  26: beta 1.9736  ESS   153.6/256  U/N -3.0748  sb 0.10%  2154s
rung  27: beta 1.9737  ESS   153.6/256  U/N -3.1059  sb 0.11%  2234s
rung  28: beta 2.0000  ESS   251.2/256  U/N -3.1143  sb 0.09%  2314s
saved smc_pilot_arm0_N100.pt  wall 2397s
n_heatbath=8: final U/N -3.1143  gap-to-eq +0.1617  2397s
saved plot -> /mnt/ssd/GridTransformer/liquid_coupling_flow/artifacts/heatbath_insmc_sweep.png
VERDICT: depth -3.1007 (n=0) -> -3.1143 (n=8); PLATEAUED above eq = COLLECTIVE
